uuid,chineseName,englishName,country,city,website,description
550e8400-e29b-41d4-a716-446655440001,浙江大学,Zhejiang University,China,Hangzhou,https://www.zju.edu.cn,"Top Chinese university with strong condensed matter physics program; home to multiple ARPES groups studying quantum materials and superconductors."
550e8400-e29b-41d4-a716-446655440002,清华大学,Tsinghua University,China,Beijing,https://www.tsinghua.edu.cn,"China's premier research university; Department of Physics hosts leading ARPES laboratories focused on topological quantum materials and strongly correlated electron systems."
550e8400-e29b-41d4-a716-446655440003,北京大学,Peking University,China,Beijing,https://www.pku.edu.cn,"Elite Chinese university with International Center for Quantum Materials (ICQM); ARPES research on high-temperature superconductors and topological matter."
550e8400-e29b-41d4-a716-446655440004,复旦大学,Fudan University,China,Shanghai,https://www.fudan.edu.cn,"Key ARPES center in China; Applied Surface Physics State Key Laboratory conducts cutting-edge ARPES studies on novel quantum materials."
550e8400-e29b-41d4-a716-446655440005,中国科学技术大学,University of Science and Technology of China,China,Hefei,https://www.ustc.edu.cn,"Major hub for quantum materials research in China; Hefei National Laboratory for Physical Sciences at the Microscale houses multiple ARPES systems."
550e8400-e29b-41d4-a716-446655440006,南京大学,Nanjing University,China,Nanjing,https://www.nju.edu.cn,"National Laboratory of Solid State Microstructures hosts world-class ARPES facilities; strong research on superconductors and topological semimetals."
550e8400-e29b-41d4-a716-446655440007,上海交通大学,Shanghai Jiao Tong University,China,Shanghai,https://www.sjtu.edu.cn,"Tsung-Dao Lee Institute and School of Physics conduct ARPES research on quantum materials; growing ARPES capability with multiple beamline access."
550e8400-e29b-41d4-a716-446655440008,中国科学院物理研究所,Institute of Physics - Chinese Academy of Sciences,China,Beijing,https://www.iop.cas.cn,"China's flagship physics research institute; home to the renowned Zhou Xingjiang ARPES group with multiple state-of-the-art ARPES systems including laser-based ARPES."
550e8400-e29b-41d4-a716-446655440009,None,Stanford University,USA,Stanford CA,https://www.stanford.edu,"Home of the Shen Lab at Stanford Institute for Materials and Energy Sciences (SIMES); world leaders in ARPES with access to SSRL synchrotron beamlines."
550e8400-e29b-41d4-a716-446655440010,None,Massachusetts Institute of Technology,USA,Cambridge MA,https://www.mit.edu,"Department of Physics hosts leading condensed matter groups; ARPES research on topological materials, quantum spin liquids, and strongly correlated systems."
550e8400-e29b-41d4-a716-446655440011,None,University of California Berkeley,USA,Berkeley CA,https://www.berkeley.edu,"Physics Department and Materials Sciences Division conduct extensive ARPES research; close ties with Advanced Light Source (ALS) at Lawrence Berkeley National Lab."
550e8400-e29b-41d4-a716-446655440012,None,University of Tokyo,Japan,Tokyo,https://www.u-tokyo.ac.jp,"Japan's top research university; Institute for Solid State Physics (ISSP) operates world-class laser-ARPES and synchrotron ARPES facilities."
550e8400-e29b-41d4-a716-446655440013,None,POSTECH (Pohang University of Science and Technology),South Korea,Pohang,https://www.postech.ac.kr,"Leading Korean research university; Pohang Accelerator Laboratory (PAL) provides synchrotron ARPES beamlines used by international community."
550e8400-e29b-41d4-a716-446655440014,None,University of St Andrews,UK,St Andrews,https://www.st-andrews.ac.uk,"Scottish university with strong condensed matter physics; School of Physics and Astronomy conducts ARPES research on quantum materials."
550e8400-e29b-41d4-a716-446655440015,None,Brookhaven National Laboratory,USA,Upton NY,https://www.bnl.gov,"U.S. Department of Energy national laboratory; Condensed Matter Physics and Materials Science Department operates ARPES endstations at NSLS-II synchrotron."
550e8400-e29b-41d4-a716-446655440016,None,Paul Scherrer Institute,Switzerland,Villigen,https://www.psi.ch,"Swiss Light Source (SLS) at PSI hosts world-class ARPES beamlines; Spectromicroscopy and Electronic Structure groups study quantum materials."
550e8400-e29b-41d4-a716-446655440017,None,University of British Columbia,Canada,Vancouver,https://www.ubc.ca,"Home of the Quantum Matter Institute and the Damascelli ARPES group; strong programs in cuprate superconductors and topological materials."
550e8400-e29b-41d4-a716-446655440018,None,EPFL (Ecole Polytechnique Federale de Lausanne),Switzerland,Lausanne,https://www.epfl.ch,"Institute of Physics hosts Baumberger group focusing on 2D materials and van der Waals heterostructures using ARPES."
550e8400-e29b-41d4-a716-446655440019,None,University of Wuerzburg,Germany,Wuerzburg,https://www.uni-wuerzburg.de,"EP4 group led by Ralph Claessen; ARPES studies of correlated electron systems and topological insulators."
550e8400-e29b-41d4-a716-446655440020,None,IFW Dresden,Germany,Dresden,https://www.ifw-dresden.de,"Institute for Solid State Research; Borisenko group studies iron-based superconductors and topological materials via ARPES."
550e8400-e29b-41d4-a716-446655440021,None,Lawrence Berkeley National Laboratory,USA,Berkeley CA,https://www.lbl.gov,"Advanced Light Source (ALS) provides multiple ARPES beamlines; strong condensed matter physics and materials science programs."
550e8400-e29b-41d4-a716-446655440022,None,Universite Paris-Saclay,France,Paris,https://www.universite-paris-saclay.fr,"Solid State Physics Laboratory; Santander-Syro group studies oxide interfaces and 2D electron gases via ARPES."
550e8400-e29b-41d4-a716-446655440023,None,Seoul National University,South Korea,Seoul,https://www.snu.ac.kr,"Department of Physics and Astronomy; Kim Changyoung group studies strongly correlated electron systems using ARPES."
550e8400-e29b-41d4-a716-446655440024,None,Hiroshima University,Japan,Hiroshima,https://www.hiroshima-u.ac.jp/en,"HiSOR synchrotron facility; Okuda group specializes in spin-resolved ARPES on topological materials."
550e8400-e29b-41d4-a716-446655440025,None,University of Colorado Boulder,USA,Boulder CO,https://www.colorado.edu,"Department of Physics; Dessau group conducts ARPES studies of high-Tc superconductors and strongly correlated materials."
550e8400-e29b-41d4-a716-446655440026,None,University of Oslo,Norway,Oslo,https://www.uio.no,"Centre for Materials Science and Nanotechnology; Wells group focuses on 2D materials and semiconductor surface ARPES."
550e8400-e29b-41d4-a716-446655440027,None,Aarhus University,Denmark,Aarhus,https://www.au.dk,"Department of Physics and Astronomy; Hofmann group studies surface electronic structure of graphene and topological insulators via ARPES."
550e8400-e29b-41d4-a716-446655440028,None,MAX IV Laboratory,Sweden,Lund,https://www.maxiv.lu.se,"Swedish national synchrotron facility; dedicated ARPES beamlines serving the Nordic and European research community."
550e8400-e29b-41d4-a716-446655440029,None,Cornell University,USA,Ithaca NY,https://www.cornell.edu,"Department of Physics; Kyle Shen group combines MBE with in-situ ARPES for oxide thin film studies."
550e8400-e29b-41d4-a716-446655440030,None,SLAC National Accelerator Laboratory,USA,Menlo Park CA,https://www.slac.stanford.edu,"SSRL synchrotron; Donghui Lu operates ARPES beamlines for high-Tc superconductor and topological material research."
550e8400-e29b-41d4-a716-446655440031,None,Elettra Sincrotrone Trieste,Italy,Trieste,https://www.elettra.eu,"Italian synchrotron facility; hosts ARPES beamlines including spin-resolved capabilities. Fujii and Petaccia groups."
550e8400-e29b-41d4-a716-446655440032,None,Forschungszentrum Juelich,Germany,Juelich,https://www.fz-juelich.de,"Peter Gruenberg Institute; quantum materials research with ARPES and synchrotron-based spectroscopy."
550e8400-e29b-41d4-a716-446655440033,None,ICMAB-CSIC,Spain,Barcelona,https://www.icmab.es,"Institute of Materials Science of Barcelona; functional oxide and thin film research with photoemission capabilities."
550e8400-e29b-41d4-a716-446655440034,None,Shanghai Advanced Research Institute,China,Shanghai,https://www.sari.ac.cn,"Chinese Academy of Sciences; Shanghai Synchrotron Radiation Facility (SSRF) with dedicated ARPES beamlines."
550e8400-e29b-41d4-a716-446655440035,None,University of Oxford,UK,Oxford,https://www.ox.ac.uk,"Department of Physics; condensed matter physics group with ARPES and quantum materials research programs."
550e8400-e29b-41d4-a716-446655440036,None,Tohoku University,Japan,Sendai,https://www.tohoku.ac.jp,"Institute for Materials Research; strong ARPES and photoemission research on quantum materials."
550e8400-e29b-41d4-a716-446655440037,None,Diamond Light Source,UK,Didcot,https://www.diamond.ac.uk,"UK national synchrotron facility; ARPES beamlines serving the British and European condensed matter community."
550e8400-e29b-41d4-a716-446655440038,None,Synchrotron SOLEIL,France,Gif-sur-Yvette,https://www.synchrotron-soleil.fr,"French national synchrotron; multiple ARPES and photoemission beamlines for quantum materials research."
550e8400-e29b-41d4-a716-446655440039,None,BESSY II (Helmholtz-Zentrum Berlin),Germany,Berlin,https://www.helmholtz-berlin.de,"Berlin electron storage ring; world-class ARPES beamlines including spin-resolved and time-resolved capabilities."
550e8400-e29b-41d4-a716-446655440040,None,SPring-8,Japan,Sayo,https://www.spring8.or.jp,"World's largest third-generation synchrotron; multiple ARPES endstations for hard and soft X-ray photoemission."
550e8400-e29b-41d4-a716-446655440041,None,Taiwan National Synchrotron Radiation Research Center,Taiwan,Hsinchu,https://www.nsrrc.org.tw,"Taiwan Light Source (TLS) and Taiwan Photon Source (TPS); ARPES beamlines for condensed matter research."
550e8400-e29b-41d4-a716-446655440042,None,RIKEN,Japan,Wako,https://www.riken.jp,"Center for Emergent Matter Science; theoretical and experimental condensed matter including ARPES-related research."
550e8400-e29b-41d4-a716-446655440043,None,Indian Institute of Science,India,Bangalore,https://www.iisc.ac.in,"Department of Physics; growing condensed matter and ARPES research programs on quantum materials."
550e8400-e29b-41d4-a716-446655440044,None,Tata Institute of Fundamental Research,India,Mumbai,https://www.tifr.res.in,"Department of Condensed Matter Physics and Materials Science; photoemission spectroscopy of quantum materials."
550e8400-e29b-41d4-a716-446655440045,None,Weizmann Institute of Science,Israel,Rehovot,https://www.weizmann.ac.il,"Department of Condensed Matter Physics; ARPES and advanced spectroscopy of quantum materials."
550e8400-e29b-41d4-a716-446655440046,None,University of New South Wales,Australia,Sydney,https://www.unsw.edu.au,"School of Physics; condensed matter and ARPES research on topological and 2D quantum materials."
550e8400-e29b-41d4-a716-446655440047,None,Monash University,Australia,Melbourne,https://www.monash.edu,"School of Physics and Astronomy; FLEET Centre for ultra-low energy electronics with ARPES capabilities."
550e8400-e29b-41d4-a716-446655440048,None,National University of Singapore,Singapore,Singapore,https://www.nus.edu.sg,"Department of Physics; 2D materials and quantum materials research with ARPES and photoemission."
550e8400-e29b-41d4-a716-446655440049,None,University of Sao Paulo,Brazil,Sao Paulo,https://www.if.usp.br,"Institute of Physics; condensed matter research with photoemission spectroscopy; LNLS synchrotron access."
550e8400-e29b-41d4-a716-446655440050,None,Wuhan University,China,Wuhan,https://www.whu.edu.cn,"School of Physics and Technology; growing ARPES research program on topological and quantum materials."
